Wavelngth,ND520-JPT,Min%,Max%,ND510-JPT,Min%,Max%,ND506-JPT,Min%,Max%,ND520-04,Min%,Max%,ND510-04,Min%,Max%,ND510-05,Min%,Max%
,,,,,,,,,,,,,,,,,,
400,0.27,-10,10,8.43,-10,10,21.49,-10,10,0.27,-10,10,8.43,-10,10,8.43,-10,10
,,,,,,,,,,,,,,,,,,
450,0.6,-10,10,10.38,-10,10,24.72,-10,10,0.6,-10,10,10.38,-10,10,10.38,-10,10
,,,,,,,,,,,,,,,,,,
500,0.66,-5,5,9.81,-5,5,24.3,-5,5,0.66,-5,5,9.81,-5,5,9.81,-5,5
,,,,,,,,,,,,,,,,,,
550,0.8,-5,5,10.73,-5,5,25.76,-5,5,0.8,-5,5,10.73,-5,5,10.73,-5,5
,,,,,,,,,,,,,,,,,,
600,0.74,-5,5,9.17,-5,5,23.77,-5,5,0.74,-5,5,9.17,-5,5,9.17,-5,5
,,,,,,,,,,,,,,,,,,
650,1.05,-5,5,9.77,-5,5,24.81,-5,5,1.05,-5,5,9.77,-5,5,9.77,-5,5
,,,,,,,,,,,,,,,,,,
700,2.73,-5,5,15.69,-5,5,32.41,-5,5,2.73,-5,5,15.69,-5,5,15.69,-5,5
,,,,,,,,,,,,,,,,,,
750,4.13,-5,5,16.96,-5,5,33.84,-5,5,4.13,-5,5,16.96,-5,5,16.96,-5,5
,,,,,,,,,,,,,,,,,,
800,4.63,-5,5,15.16,-5,5,31.66,-5,5,4.63,-5,5,15.16,-5,5,15.16,-5,5
,,,,,,,,,,,,,,,,,,
850,4.67,-5,5,13.2,-5,5,29.14,-5,5,4.67,-5,5,13.2,-5,5,13.2,-5,5
,,,,,,,,,,,,,,,,,,
900,4.38,-5,5,11.48,-5,5,26.76,-5,5,4.38,-5,5,11.48,-5,5,11.48,-5,5
,,,,,,,,,,,,,,,,,,
950,4.16,-5,5,10.06,-5,5,24.77,-5,5,4.16,-5,5,10.06,-5,5,10.06,-5,5
,,,,,,,,,,,,,,,,,,
1000,4.02,-5,5,9.08,-5,5,23.35,-5,5,4.02,-5,5,9.08,-5,5,9.08,-5,5
,,,,,,,,,,,,,,,,,,
1050,4.03,-5,5,8.55,-5,5,22.5,-5,5,4.03,-5,5,8.55,-5,5,8.55,-5,5
,,,,,,,,,,,,,,,,,,
1100,4.15,-5,5,8.36,-5,5,22.28,-5,5,4.15,-5,5,8.36,-5,5,8.36,-5,5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,
